ID,stage1_temp,stage2_temp,stage3_temp,stage4_temp,stage5_temp,stage1_humidity,stage2_humidity,stage3_humidity,stage4_humidity,stage5_humidity,stage1_flow_deviation,stage1_density_deviation,stage1_viscosity_deviation,stage1_co2_deviation,stage1_o2_deviation,stage1_n_deviation,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,stage4_flow_deviation,stage4_density_deviation,stage4_viscosity_deviation,stage4_co2_deviation,stage4_o2_deviation,stage4_n_deviation,stage5_flow_deviation,stage5_density_deviation,stage5_viscosity_deviation,stage5_co2_deviation,stage5_o2_deviation,stage5_n_deviation,target
69,30.67,30.42,30.72,28.08,28.98,73.14,74.79,74.53,70.88,77.02,-2.280375236,2.890875946,-2.743994306,0.185448077,-0.03409785,2.091496743,11.11483641,3.324263719,-4.652627458,0.353619631,0.172166868,-2.668191644,4.085212106,-1.147322864,3.613972905,-0.653452213,-3.77190729,-2.668191644,4.662947339,-2.742767579,11.11483641,0.338956051,-2.755354419,0.615371857,-2.755354419,4.954704617,4.8971505,4.438645396,2.94988999,0.071330781,1
70,28.51,31.82,28.12,30.69,30.05,77.86,75.61,69.41,70.19,77.8,-2.803186578,3.941285503,5.258401186,0.542577406,1.501977252,-0.484042203,-10.57051674,-5.647174511,4.041457793,-3.619579686,-1.300640537,-0.92905036,6.232426936,-0.265946089,3.544847299,3.35655371,0.625626893,-0.92905036,1.92833134,-1.639053153,-10.57051674,-1.301426116,-3.505219322,0.368111798,-3.505219322,-4.285959789,4.287498057,-0.397294849,-1.445691156,0.818819992,1
71,29.5,29.36,30.52,31.35,31.54,73.89,74.58,75.38,76.18,78.61,0.705704187,-0.342313532,2.888985106,0.899706735,-0.360728887,1.266205972,5.115246288,4.387173897,-1.804564503,-0.317098195,0.075410531,1.64472964,8.379641767,-3.657227214,1.555424025,3.862377227,2.742115238,1.64472964,1.077785779,1.749776496,5.115246288,-2.975837015,2.816267087,0.120851739,2.816267087,6.653533646,3.677845613,2.22401346,-3.787475566,2.717897238,1
76,30.55,28.34,30.66,31.39,30.6,77.74,73.05,70.37,78.09,71.87,-3.655378251,4.959989171,4.342244942,2.003348184,-0.219949029,0.721795895,-4.437556481,-5.848786378,1.010219859,-3.321763549,-0.201466192,-0.6166407,-0.926295402,2.812612717,3.581628642,-1.42646764,-2.141659605,-0.6166407,0.584150696,-1.285414771,-4.437556481,11.16781801,-5.600412275,-0.435227288,-5.600412275,3.452894746,-2.857410458,2.659557991,2.54498592,-4.472060649,1
80,30.43,29.82,31.26,30.55,28.38,78.35,74.15,71.99,78.55,72.83,3.12190387,-2.345648604,-3.244157209,0.151967484,0.677094663,0.370685034,5.936177996,3.750787978,1.37886584,2.652652598,-1.021264235,-0.689375592,4.32213685,0.950500461,2.539163463,0.954176732,-1.469213226,-0.689375592,1.50023121,-1.548065752,5.936177996,-5.734273808,3.539714091,-1.417149176,3.539714091,-4.58070461,1.951797427,1.510347164,-0.395476946,2.678475217,1
84,29.88,29.99,29.74,29.23,31.16,69.82,71.16,70.08,72.94,77.61,0.854663845,1.983508457,-2.22556725,0.551631741,-0.55752248,-1.163064742,3.499808627,-4.211334136,-2.712591164,2.598831674,1.847686008,-0.9833622,-5.390467265,1.439574117,-0.967068694,-1.873148024,-0.286450269,0.808848697,1.629499749,-3.396858614,3.499808627,-6.124380629,0.196100047,0.45294382,0.196100047,3.70427996,1.192685071,-1.88040721,-3.752416691,-1.508949837,1
88,29.59,29.15,29.77,31.15,31.4,73.23,74.89,73.03,76.08,71.04,-0.897401376,2.159371156,2.303543697,-3.681637443,-0.135633322,-0.293985042,-1.224334909,-3.796330058,-2.651171447,-1.045220266,0.975620699,-3.453860269,-4.880050161,-0.762385335,3.287615609,2.295806527,2.437035386,-3.453860269,3.490532706,-4.758018777,-1.224334909,-4.180229404,0.951892561,-1.00830631,0.951892561,4.799391583,-3.407776521,0.74064329,-3.134467658,0.184421718,1
90,30.8,28.55,31.11,28.36,30.51,77.93,73.6,71.68,75.15,69.55,1.828581407,-0.785374203,-0.631636012,-2.270925978,0.31887305,0.207355981,4.487277475,-7.499698747,2.373963835,-4.44616194,-0.646984745,-2.19106501,3.086211714,7.229679724,1.660826906,-0.764562781,-0.361099815,-2.19106501,1.163264352,-1.842381934,4.487277475,1.866421364,1.448845904,-1.113980181,1.448845904,-7.641779003,-3.773252477,1.427478981,-0.305874603,-4.568229243,1
92,28.99,28.67,29.61,29.75,31.83,67.3,71.12,69.84,70.32,73.76,4.55456419,4.470230367,-1.845120258,2.640042783,0.552327836,0.704090679,-2.130387553,2.38121769,-0.431664618,1.246347149,-0.414681584,2.415924829,-11.78875223,-4.798229175,2.799577954,2.968199996,-3.378116578,2.415924829,2.206958657,2.885425143,-2.130387553,-13.93120843,4.049700143,1.423374675,4.049700143,-5.87456143,0.16754886,-3.533608353,1.004768133,1.531570425,1
94,31.37,29.24,30.86,30.07,29.17,72.41,74.11,73.45,78.34,72.11,-1.205982685,5.276212562,2.63022259,3.27681569,0.32172497,1.622889079,-4.376828214,-3.362336765,2.012052064,-1.297457227,0.39517218,-0.453861112,0.422466012,-0.266002616,1.526425541,0.098439911,-2.186152127,-0.453861112,0.801244747,-3.042844449,-4.376828214,6.716174304,-5.187800225,-0.3269424,-5.187800225,3.540540958,0.923408212,0.829526333,0.858708633,-0.030436234,1
97,31.88,28.11,31.02,29.84,28.59,67.64,71.94,75.52,67.66,69.88,-1.097902348,1.847967264,0.64817264,2.329105362,0.417309938,-0.225381161,0.838342915,0.401201696,2.528001155,-1.353807416,1.700735508,2.011962328,-4.894708298,-0.019958148,4.225576861,0.074951166,4.099468303,-3.171598085,2.898005131,0.286860996,0.838342915,2.126552636,-0.938874366,-0.793211925,-0.938874366,-2.596318781,1.297678316,2.584644556,-2.43852245,-2.032297466,1
100,31.52,31.87,30.6,29.01,28.07,74.61,75.06,68.64,67.48,78.82,-2.136321615,-0.929080683,-4.671052971,0.208726957,0.816716089,0.173032119,6.463047383,8.6631554,-2.375953392,5.062808774,-0.941405106,-0.108765154,5.413016625,0.908639197,-1.96435074,-1.733316155,-0.143134163,-0.108765154,1.17502532,-0.1682566,6.463047383,5.47888087,-1.616366618,0.94152387,-1.616366618,2.456468662,-1.990285311,2.147318493,-3.365828708,-0.661728755,1
101,30.38,29.76,28.5,31.43,28.18,77,69.89,74.87,68.84,71.89,-2.450429017,-0.859604088,-0.332106581,-0.498065844,-1.067398819,0.818927227,-5.250901531,3.655210166,-0.180552022,-5.308076816,-0.090898429,-1.32506153,-2.218555315,-1.501065152,-2.362975996,-0.216069162,1.092017258,-0.442555455,4.442001082,0.21518669,-5.250901531,5.240599503,0.839183214,0.520017659,0.839183214,-1.116689829,-3.086273186,2.323925829,-0.670315556,3.978483703,1
107,30.52,31.63,30.93,31.08,29.98,76.05,75.81,75.84,77.96,68.2,0.82429345,-0.440171461,-0.210044789,-0.919400192,-0.230895988,0.820525267,-9.450531792,-1.953570881,0.341348246,-1.986999409,-3.021426207,0.058817229,-1.837391482,-2.511859843,-3.294501282,-0.417944431,-6.5093625,0.058817229,-0.184173097,-0.451452923,-7.044856708,-2.609605815,1.260185115,-1.89599965,-2.985379089,0.825178897,-3.395406737,3.617051262,3.029203167,2.911198464,1
111,31.62,28.13,28.97,30.1,31.87,69.37,69.09,68.48,74.4,71.14,3.478341525,-1.977241166,-0.44350057,0.474776759,-0.970171185,1.879218324,4.579991645,5.79423682,-2.920284619,-0.85583204,-0.355858654,1.926646471,5.125324297,1.77556402,0.544958506,2.105711164,-0.37433307,1.926646471,-0.79633491,-0.847779593,4.579991645,-8.371566127,4.428424474,1.1048332,4.428424474,3.403651409,0.205196325,0.643551119,2.058511298,0.747247053,1
112,28.59,29.68,30.81,29.47,31.82,77.95,68.19,69.65,69.97,72.12,3.828924851,3.81240956,1.272697809,2.031092893,-1.212548597,-0.974796559,-2.663495684,-8.954823772,-1.833818832,0.422124489,0.604096163,-3.469574565,-2.378521391,-2.301846787,-0.101335912,-0.625174311,-2.092148592,-3.469574565,1.094312809,-6.254103489,-2.906156971,3.925254216,-3.914288443,1.665989596,1.138628472,6.432138195,0.319383536,2.368036904,3.26441567,-0.771923694,1
117,30.45,30.28,30.29,29.99,28.82,75.35,71.2,78.58,73.27,70.63,2.327586339,1.391986378,1.751146926,0.317927499,-0.624398239,-1.570408032,2.078336445,8.647138707,-4.043161012,-0.022237465,0.422697026,-3.930974398,1.471884617,1.988080077,2.507683715,1.131570304,5.132516837,-3.930974398,4.739873213,-1.823015658,3.607954569,10.84184726,-3.067214008,0.392411387,-3.067214008,3.963830583,-1.123301342,3.037520297,2.223352568,-2.311162651,1
118,30.43,31.09,30.48,29.99,28.32,72.96,68.48,71.74,72.21,72.22,3.716960757,-1.970248938,1.128787431,-1.344811928,0.603422045,1.518361542,-2.210116742,-3.167505278,-5.174992452,0.195943041,-0.633468983,-1.485202996,0.869989129,2.5862869,2.005872489,-1.964889547,-2.586632142,-1.485202996,-3.256323833,-1.96278024,-2.210116742,4.56984916,-2.921869037,1.225906688,-2.921869037,15.96720009,-1.431675836,2.379796007,-0.48070049,-2.713786951,1
123,28.54,28.06,30.64,28.4,30.37,71.85,74.8,70.51,74.24,77.74,-4.595260632,-1.30471826,-1.751891971,1.900808864,-0.73026338,0.110518591,-7.695432935,6.810805005,1.656139356,2.288567175,-0.634352868,1.644541154,-2.222139921,-3.350039021,2.777380409,1.200313198,-0.262067445,2.912959467,-0.370970847,-0.156289567,-7.695432935,3.303258479,-1.478538665,0.265156903,-5.261206101,-5.752454849,1.5314538,0.963907322,-0.475794223,-0.684439863,1
126,30.33,30.64,29.94,30.65,28.78,78.26,72.36,67.67,78.78,74.02,0.0859225,6.350216727,2.000723613,-0.381949189,0.233010531,-0.789312793,-5.33948428,5.794930525,1.87207244,-0.376028168,1.398286342,-0.759912825,1.143138646,2.281013769,-1.605359723,7.907094356,4.693753515,0.641905995,-1.238433328,2.907803586,-5.33948428,-11.74519876,-3.654763621,-1.718556624,-3.654763621,-9.616824255,-0.125729253,-3.941203108,0.522348511,-0.893629097,1
128,30.89,30.78,31.51,31.92,30.95,78.67,67.3,77.91,72.29,79,-1.857131334,3.699325151,1.090212632,-0.141986122,-1.459762555,1.334497193,9.012739458,-1.362248771,-0.256448,0.919615426,-1.797936804,-0.799136818,0.781837728,1.21797548,0.78010456,3.475503758,-5.134670586,-0.799136818,1.478672495,2.083391973,9.012739458,-1.6625316,-1.951193517,-0.042940077,-1.951193517,-8.472575848,0.754954804,-0.208712485,1.221268382,-4.021341355,1
143,30.73,30.13,30.4,28.26,31.02,73.18,71.07,71.5,75.28,76.97,1.633276504,0.376075575,2.726375446,-1.852922816,0.951162866,1.269874059,2.911868341,-3.635904895,0.075082577,-3.272921385,1.06770637,4.843367107,0.757247161,2.265708981,0.342863015,0.895115163,1.616188723,-2.803622861,0.60770402,0.178720641,2.911868341,-12.15246131,0.834112085,-0.396490161,0.834112085,-2.699746691,-4.333209998,-1.697903047,-5.289591795,1.381601034,1
146,28.13,31.22,28.46,28.95,30.37,78.39,69.19,70.33,78.26,78.04,1.754827213,3.002040531,-0.523722692,-0.68830042,-0.295171342,1.792055016,3.345078799,3.857587408,-0.043385688,3.546982422,0.216551557,0.084816843,5.097662627,0.25815269,-1.722612268,1.038972367,-3.506326772,0.084816843,-4.953836025,2.287422065,-5.218034796,-7.461905943,1.27173258,1.199242183,1.27173258,-8.399130571,1.275421217,-3.778929223,4.138922404,-0.385045944,1
149,31.96,30.01,28.31,28.65,28.34,76.03,69.62,73.7,72.71,76.35,-2.612836606,0.921822425,-1.246182948,-0.322483408,0.682220563,0.299325652,2.892591123,1.82306486,4.826627706,1.195538631,-1.391102564,2.163760923,0.234315001,1.123973268,4.635018143,1.506818641,-1.084723243,-1.23344605,6.636315055,-1.824749839,2.892591123,-5.088077905,2.964562328,1.232822701,2.964562328,1.871911453,-0.670693259,3.156957215,-1.101966579,-1.84155884,1
150,29.31,31.38,29.63,28.42,30.55,78.38,76.77,67.85,77.22,70.14,-1.310503648,2.24441669,0.292675093,1.168618993,0.175767705,0.489853636,-7.46127546,1.479330472,2.366697051,-0.341840179,0.032800181,0.304052869,0.548629907,-0.352278995,3.797094633,3.111586208,-1.805643022,0.304052869,0.359281133,-3.856613054,-7.46127546,-9.758223608,-1.149370045,0.058919624,-1.149370045,1.924188156,-3.476799093,0.004080863,-0.262029338,2.395450065,1
154,31.53,30.97,31.4,30.32,28.02,68.17,70.32,69.68,72.93,75.63,-1.415320161,2.512785186,1.251715725,2.031119783,0.588391974,1.970043425,3.040734149,3.859290543,3.236811462,0.709591628,0.164100144,3.287061127,-0.361954589,-2.543380696,-0.887897046,4.43691528,0.9274857,-1.213355937,2.171815447,-0.764359596,3.040734149,-5.830483274,3.001734859,-0.902994109,3.001734859,-3.167343904,2.057058161,-0.179931049,-0.934274668,-0.679111967,1
159,29.24,30.15,29.55,28.41,29.18,76.62,71.05,75.37,76.79,72.27,2.696885991,-1.258338595,-2.132895715,1.458315413,1.417120105,-1.626177378,4.805988486,-3.750281741,1.521821156,2.378397814,-0.613869158,3.684000354,1.167475213,-0.86569288,-2.005841987,-1.159159017,0.640917668,3.684000354,0.286362426,-2.677860772,4.805988486,-6.747071381,4.005206398,0.890719659,4.005206398,3.545758494,-1.150359255,2.084346566,-3.63619644,-4.11651947,1
166,29.72,29.33,30.25,28.12,30.62,73.26,72.21,71.32,76.66,74.06,1.168265411,-0.907502614,-3.355995592,-1.93989224,-0.958559383,-0.122965064,-7.411667519,-10.80374281,-3.452523781,0.672480189,0.449148614,4.723578939,-19.70716897,-4.902945378,-4.107082005,-0.231539891,1.594285317,-1.767914772,6.782082173,-7.264908788,-7.411667519,2.430041201,4.91556786,0.54063008,4.91556786,-2.383301858,3.080412674,-3.261179753,-0.783490448,-2.714545178,1
173,31.51,28.22,30.64,31.4,31.08,74.55,74.26,75.51,67.17,76.63,-3.767118033,1.364415354,2.985565212,2.118019239,0.754173657,-0.115436105,-4.907209876,7.562538819,-0.636691699,-3.925342972,1.551018005,-0.901889468,2.945001357,0.938245496,-0.700575819,4.179221275,0.621874427,-0.901889468,-0.213660843,1.895247011,-4.907209876,-2.018164663,-0.363977936,0.510316252,-0.363977936,4.57028604,-0.087384325,0.928439361,-1.02498272,4.958222064,1
176,30.5,30.97,30.59,29.8,28.46,74.85,70.45,68.62,71.86,72.56,0.528331946,3.607513412,2.123065926,0.686134881,-0.519631682,-1.871672829,-7.381533864,-10.64690098,-0.365659271,-2.181301376,0.967268788,0.376084969,5.100322759,-3.956312626,-4.376649262,-1.239466706,0.046485117,0.376084969,0.705994682,-3.635445297,-7.381533864,-0.276124409,0.466815971,1.048143757,0.466815971,4.613848803,1.225512917,2.118109855,-3.606689969,0.184338792,1
186,30.27,29.12,31.02,30.97,29.27,68.67,73.39,74.01,67.77,71.53,-1.981382686,0.041072924,0.481638635,-3.341123726,0.00541107,0.731069172,2.643369654,7.56756328,1.727973943,1.241999539,-1.956902086,5.026392372,1.536693494,-0.267802063,3.22329696,2.982121822,1.190915055,5.026392372,2.306987988,0.011641235,2.643369654,-11.76779732,3.208404858,1.095606252,3.208404858,0.29274342,-0.217724907,-0.806730784,-2.296752033,2.190756826,1
194,30.97,31.93,30.03,29.7,30.62,67.12,78.31,77.99,77.66,72.54,-2.960218541,1.601713377,-2.580282577,3.738623311,-0.018642067,0.769034033,-0.026749652,11.78994368,2.358834046,0.603709128,0.061897236,3.457375972,5.308403098,0.339063978,0.658550328,5.502930128,0.301679395,3.457375972,1.42514049,-0.799320713,-0.026749652,-10.54719921,2.246096552,-1.217518298,1.694864238,-1.133789749,-0.157014926,-0.499451684,0.340136237,1.956933795,1
199,29.05,31.7,28.19,29.93,30.85,68.2,71.37,72.79,69.4,78.29,0.831638442,2.335109618,0.657400553,-0.026553791,1.248806694,0.48620832,-8.395465526,-1.725662241,0.023029645,-0.126821424,-0.193451549,-0.555747035,-3.590275837,-2.236606943,3.114039879,6.402779326,-7.840855845,-0.555747035,-0.309722168,-2.248771421,-8.395465526,-14.63258062,-4.560815019,-0.495310119,-4.560815019,-14.60607128,0.54531258,-3.161179776,-0.373531101,-2.053407397,1
201,29.38,28.77,29.27,28.56,29.53,77.78,74.41,73.16,75.98,75.86,-0.261687335,0.154831967,4.370337319,0.616091538,0.171328505,0.560271675,1.0720034,-2.625053307,-0.877974367,-0.748736605,-0.601448089,-6.209977827,-3.43795624,0.228020525,-2.222593806,-0.962843003,-3.76121604,-6.209977827,-0.601693213,-1.724657003,1.0720034,-3.118764284,-0.458264827,-2.693429094,-0.458264827,3.57955495,1.407751469,-3.492250196,-0.185916718,0.079037141,1
203,31.91,31.55,29.72,29.83,29.01,78.42,76.53,67.51,72.39,75.44,-0.359556697,3.306984934,0.730047699,3.490018416,0.612025281,0.169739739,-8.401874041,-4.200639116,0.94110695,-1.726492418,-1.28252592,-1.035346043,-5.175736025,-2.56054646,-6.057572869,3.350363762,-1.836984778,-1.035346043,0.897264579,-1.86948626,-8.401874041,4.348837092,-3.237489997,0.260765293,-3.237489997,-2.8354978,2.270190358,-1.476009533,0.111971508,-2.748468196,1
204,30.58,31.68,29.17,29.23,30.08,68.83,74.42,69.83,74.42,76.31,-0.408491378,-1.080103743,3.057608252,2.056497073,0.157190847,-0.55090632,4.378150308,-3.788275178,0.559527441,0.174197736,-1.172479221,-1.940386831,7.488837754,1.976604736,1.46340694,-0.174443553,0.050361709,-1.940386831,0.569640088,-3.131643928,4.378150308,5.972903246,0.27109582,1.34133243,0.27109582,6.638155591,1.624937374,5.379820861,1.180031068,-1.904092571,1
206,31.57,31.12,30.91,30.68,30.08,77.47,74.41,74.05,73.3,77.32,1.07326956,1.706454201,-0.552976655,0.519366877,0.078023511,0.474870802,4.73677124,4.255569688,-0.361816674,-0.323625264,1.074961407,-3.473460945,1.528788404,1.275318189,0.41522548,-0.295244841,-1.065876225,-3.473460945,-1.088122689,0.767284385,4.73677124,-4.494328978,-0.58538185,-1.095570403,-0.58538185,-0.814196682,-1.486547363,-2.179671406,0.069130745,-3.366471876,1
209,28.95,28.78,31.44,31.24,31.93,73.96,67.77,70.42,74.88,72.79,0.29092446,1.319214649,4.134254211,-0.503630146,0.412732501,-0.642933196,11.00254764,-12.26409565,-0.307416491,0.976467008,-0.356243359,0.496166043,-8.46966469,-3.819073099,5.009941003,-3.611192391,-1.979978661,0.496166043,0.106265641,-2.231113514,-2.694971749,1.338811575,-2.823276142,0.952078944,4.416342632,3.763188729,0.899671377,1.541774506,0.143209892,-2.155568172,1
214,31.63,31.16,29.42,30.85,31.44,78.14,77.26,75.52,76.14,78.51,-5.056891081,-5.21350003,-5.132174653,-0.655155622,0.803243073,1.272760219,-10.80133996,0.747480443,-2.389538678,1.288472256,-0.857076846,-3.986623473,9.810674537,1.516561211,1.504614442,6.942631595,-2.358366994,0.208820615,-0.772823936,-0.173528374,-10.80133996,-9.015360612,-4.569577252,-0.48692926,1.120223111,-19.9959688,1.851279222,1.965386802,1.208487356,0.746065231,1
218,29.81,29.81,31.58,28.68,31.69,67.49,69.07,72.34,75.93,76.84,1.348306874,1.2413749,2.374815364,-2.148828668,0.998368094,0.947283742,-5.042639496,0.228328245,-1.624129425,-3.781888245,-1.784597819,3.448294316,-4.036123051,-1.136799893,4.255865097,0.700008656,-0.109351969,3.448294316,3.435990132,-0.944561089,3.328587872,-10.25081156,1.951031267,1.366998812,1.951031267,-1.977123902,-3.582538461,-1.563365592,-0.360090482,1.023341436,1
224,29.52,31.94,29.04,29.79,28.38,72.36,72.92,75.29,71.59,68.97,-0.261963246,2.619984473,-3.101065268,2.352337138,-1.861219908,-1.16616383,-5.143439934,-3.918576401,-1.006835643,-4.544930547,-0.699595079,2.232847382,-2.833616104,-2.194426101,-0.558139313,-4.059172476,-6.077700754,2.232847382,-0.376300027,-1.150832888,-5.143439934,7.290749992,0.466693062,-2.263758864,0.466693062,6.85113926,0.61302837,5.081999648,0.230177824,3.875835228,1
